country,isocode,last,previous
Greenland,GRL,-17.56,-18.46
Canada,CAN,-3.71,-4.27
Russian Federation,RUS,-3.64,-1.72
Norway,NOR,2.06,3.34
Mongolia,MNG,2.07,1.53
Finland,FIN,2.3,4.11
Iceland,ISL,2.4,2
Sweden,SWE,3.02,4.47
Kyrgyzstan,KGZ,3.35,2.74
Tajikistan,TJK,4.52,3.59
Estonia,EST,6.28,8.12
Switzerland,CHE,6.42,7.67
Faroe Islands,FRO,6.5,6.66
Latvia,LVA,6.81,8.56
Lithuania,LTU,7.28,8.96
Belarus,BLR,7.33,9.09
Austria,AUT,7.35,8.24
Liechtenstein,LIE,7.42,8.63
Kazakhstan,KAZ,7.88,8.35
China,CHN,8.19,7.89
Andorra,AND,8.43,9.09
Poland,POL,8.75,10.03
Slovakia,SVK,8.78,9.63
Armenia,ARM,8.84,8.43
Denmark,DNK,8.92,10.04
Ukraine,UKR,9.38,10.86
United Kingdom,GBR,9.38,9.68
Germany,DEU,9.49,10.79
Luxembourg,LUX,9.81,11.33
Chile,CHL,9.88,9.97
Isle of Man,IMN,9.89,9.92
Slovenia,SVN,9.9,10.55
Ireland,IRL,9.95,9.79
United States of America,USA,10,10
Georgia,GEO,10.06,9.92
Montenegro,MNE,10.2,10.61
Romania,ROU,10.35,11.3
Netherlands,NLD,10.39,11.66
Belgium,BEL,10.47,11.88
Bosnia and Herzegovina,BIH,10.66,11.07
Bhutan,BTN,10.8,10.4
New Zealand,NZL,11.23,10.91
France,FRA,11.57,12.71
Hungary,HUN,11.57,12.25
Serbia,SRB,11.67,12.21
Croatia,HRV,11.95,12.46
Bulgaria,BGR,11.98,12.5
Lesotho,LSO,12.26,12.63
Japan,JPN,12.36,12.32
Turkey,TUR,12.63,12.66
Albania,ALB,12.92,13.1
San Marino,SMR,12.95,13.33
Italy,ITA,13.5,13.85
Monaco,MCO,13.62,14.21
Spain,ESP,14.25,14.65
Azerbaijan,AZE,14.29,13.76
Afghanistan,AFG,14.3,12.88
Nepal,NPL,14.32,13.97
Uzbekistan,UZB,14.78,13.9
Greece,GRC,14.89,14.8
Argentina,ARG,15.4,15.52
Portugal,PRT,16.09,16.42
Lebanon,LBN,16.23,15.97
Turkmenistan,TKM,17.65,16.44
South Africa,ZAF,18.06,18.47
Uruguay,URY,18.06,18.12
Morocco,MAR,18.48,18.57
Rwanda,RWA,19.21,19.13
Peru,PER,19.79,19.95
Cyprus,CYP,19.84,19.73
Namibia,NAM,20.12,20.31
Malta,MLT,20.28,20.04
Jordan,JOR,20.36,19.92
Burundi,BDI,20.53,20.44
Israel,ISR,20.87,20.41
Tunisia,TUN,21.33,20.87
Ecuador,ECU,21.38,21.78
Pakistan,PAK,21.68,20.81
Angola,AGO,21.74,21.73
Botswana,BWA,21.74,22.06
Mexico,MEX,21.86,22.08
Zimbabwe,ZWE,21.87,21.92
Australia,AUS,22.06,22.57
Zambia,ZMB,22.12,22.03
French Polynesia,PYF,22.19,22.21
Malawi,MWI,22.79,22.8
Madagascar,MDG,22.87,22.89
New Caledonia,NCL,23.04,23.12
Libya,LBY,23.05,22.63
Uganda,UGA,23.22,23.37
Ethiopia,ETH,23.35,23.38
Comoros,COM,23.51,23.76
Mauritius,MUS,23.67,23.53
Egypt,EGY,23.88,23.18
Algeria,DZA,23.93,23.79
Paraguay,PRY,24.01,24.62
Myanmar,MMR,24.08,24.05
Guatemala,GTM,24.09,24.35
Iraq,IRQ,24.22,23.45
Mozambique,MOZ,24.53,24.61
Dominican Republic,DOM,24.7,24.86
Sao Tome and Principe,STP,24.7,24.49
Vanuatu,VUT,24.72,24.76
Papua New Guinea,PNG,24.73,24.75
Tonga,TON,24.74,25.02
Costa Rica,CRI,24.94,25.08
Colombia,COL,24.97,25.36
India,IND,24.99,24.8
Fiji,FJI,25.01,25.29
Honduras,HND,25.05,25.21
Haiti,HTI,25.06,25.26
Equatorial Guinea,GNQ,25.08,25.08
Mayotte,MYT,25.08,25.3
Puerto Rico,PRI,25.11,25.23
Cameroon,CMR,25.21,25.22
Congo,COG,25.23,25.37
Kenya,KEN,25.23,25.43
Bahamas,BHS,25.5,25.99
El Salvador,SLV,25.56,25.79
Brazil,BRA,25.58,25.93
Solomon Islands,SLB,25.6,25.6
Panama,PAN,25.62,25.9
Yemen,YEM,25.62,25.62
Gabon,GAB,25.65,25.73
Bangladesh,BGD,25.68,25.38
Central African Republic,CAF,25.78,25.67
Jamaica,JAM,25.8,26.05
Liberia,LBR,25.87,25.73
Indonesia,IDN,25.99,26.18
Cuba,CUB,26.05,26.43
Belize,BLZ,26.15,26.38
Guyana,GUY,26.15,26.52
Nicaragua,NIC,26.19,26.33
Malaysia,MYS,26.46,26.67
Grenada,GRD,26.49,26.67
Trinidad and Tobago,TTO,26.54,26.78
Suriname,SUR,26.56,26.9
Guinea,GIN,26.59,26.33
Philippines,PHL,26.6,26.64
Barbados,BRB,26.64,26.8
Saudi Arabia,SAU,26.8,26.18
Eritrea,ERI,26.87,26.38
Somalia,SOM,26.88,27.08
Dominica,DMA,26.91,27.03
Thailand,THA,26.91,27.43
Seychelles,SYC,27.07,27.26
Sierra Leone,SLE,27.19,27.01
Antigua and Barbuda,ATG,27.33,27.44
American Samoa,ASM,27.34,27.52
Sri Lanka,LKA,27.41,27.66
Cambodia,KHM,27.44,27.9
Kiribati,KIR,27.49,27.49
Palau,PLW,27.56,27.72
Samoa,WSM,27.56,27.75
Northern Mariana Islands,MNP,27.65,27.84
Nigeria,NGA,27.67,27.43
Chad,TCD,27.72,27.37
Maldives,MDV,27.74,27.78
Singapore,SGP,27.74,28.02
Guam,GUM,27.88,28.02
Kuwait,KWT,27.89,26.89
Cayman Islands,CYM,27.99,28.3
Togo,TGO,28.05,27.82
Marshall Islands,MHL,28.07,28.43
Niger,NER,28.09,27.85
Oman,OMN,28.1,27.82
Sudan,SDN,28.17,27.42
Ghana,GHA,28.3,28.1
Djibouti,DJI,28.46,28.43
Benin,BEN,28.7,28.43
Gambia,GMB,29,29.03
Aruba,ABW,29.03,29.37
United Arab Emirates,ARE,29.08,28.38
Bahrain,BHR,29.15,28.15
Mauritania,MRT,29.3,29.1
Qatar,QAT,29.42,28.45
Senegal,SEN,29.63,29.56
Mali,MLI,29.78,29.4
Burkina Faso,BFA,30.01,29.63