country,isocode,leisuretime
Norway,NOR,231
Italy,ITA,214
Finland,FIN,205
Sweden,SWE,199
Greece,GRC,199
Germany,DEU,199
Denmark,DNK,198
Netherlands,NLD,196
Belgium,BEL,193
India,IND,188
Slovenia,SVN,186
Ireland,IRL,185
Estonia,EST,179
Spain,ESP,177
Japan,JPN,175
Austria,AUT,173
New Zealand,NZL,171
South Africa,ZAF,169
UK,UGA,165
France,FRA,165
Canada,CAN,164
Poland,POL,162
Turkey,TUR,159
Korea,KIR,152
Luxembourg,LUX,148
Hungary,HUN,142
Latvia,LVA,141
Australia,AUS,135
United States of America,USA,135
Portugal,PRT,116
Lithuania,LTU,108
Mexico,MEX,99
China,CHN,99