Country,Last ,Previous ,Reference,Unit
Greenland,-17.56,-18.46,01/12/2021,celsius
Canada,-3.71,-4.27,01/12/2021,celsius
Russia,-3.64,-1.72,01/12/2021,celsius
Norway,2.06,3.34,01/12/2021,celsius
Mongolia,2.07,1.53,01/12/2021,celsius
Finland,2.3,4.11,01/12/2021,celsius
Iceland,2.4,2,01/12/2021,celsius
Sweden,3.02,4.47,01/12/2021,celsius
Kyrgyzstan,3.35,2.74,01/12/2021,celsius
Tajikistan,4.52,3.59,01/12/2021,celsius
Estonia,6.28,8.12,01/12/2021,celsius
Switzerland,6.42,7.67,01/12/2021,celsius
Faroe Islands,6.5,6.66,01/12/2021,celsius
Latvia,6.81,8.56,01/12/2021,celsius
Lithuania,7.28,8.96,01/12/2021,celsius
Belarus,7.33,9.09,01/12/2021,celsius
Austria,7.35,8.24,01/12/2021,celsius
Liechtenstein,7.42,8.63,01/12/2021,celsius
North Korea,7.79,7.51,01/12/2021,celsius
Kazakhstan,7.88,8.35,01/12/2021,celsius
China,8.19,7.89,01/12/2021,celsius
Andorra,8.43,9.09,01/12/2021,celsius
Czech Republic,8.5,9.61,01/12/2021,celsius
Poland,8.75,10.03,01/12/2021,celsius
Slovakia,8.78,9.63,01/12/2021,celsius
Armenia,8.84,8.43,01/12/2021,celsius
Denmark,8.92,10.04,01/12/2021,celsius
Ukraine,9.38,10.86,01/12/2021,celsius
United Kingdom,9.38,9.68,01/12/2021,celsius
Germany,9.49,10.79,01/12/2021,celsius
Luxembourg,9.81,11.33,01/12/2021,celsius
Chile,9.88,9.97,01/12/2021,celsius
Isle of Man,9.89,9.92,01/12/2021,celsius
Slovenia,9.9,10.55,01/12/2021,celsius
Ireland,9.95,9.79,01/12/2021,celsius
United States,10,10,01/12/2021,celsius
Georgia,10.06,9.92,01/12/2021,celsius
Montenegro,10.2,10.61,01/12/2021,celsius
Romania,10.35,11.3,01/12/2021,celsius
Netherlands,10.39,11.66,01/12/2021,celsius
Belgium,10.47,11.88,01/12/2021,celsius
Bosnia and Herzegovina,10.66,11.07,01/12/2021,celsius
Bhutan,10.8,10.4,01/12/2021,celsius
Moldova,10.94,12.41,01/12/2021,celsius
New Zealand,11.23,10.91,01/12/2021,celsius
Macedonia,11.42,11.63,01/12/2021,celsius
France,11.57,12.71,01/12/2021,celsius
Hungary,11.57,12.25,01/12/2021,celsius
Serbia,11.67,12.21,01/12/2021,celsius
Croatia,11.95,12.46,01/12/2021,celsius
Bulgaria,11.98,12.5,01/12/2021,celsius
Lesotho,12.26,12.63,01/12/2021,celsius
Japan,12.36,12.32,01/12/2021,celsius
Turkey,12.63,12.66,01/12/2021,celsius
Albania,12.92,13.1,01/12/2021,celsius
San Marino,12.95,13.33,01/12/2021,celsius
South Korea,13.04,12.54,01/12/2021,celsius
Italy,13.5,13.85,01/12/2021,celsius
Monaco,13.62,14.21,01/12/2021,celsius
Spain,14.25,14.65,01/12/2021,celsius
Azerbaijan,14.29,13.76,01/12/2021,celsius
Afghanistan,14.3,12.88,01/12/2021,celsius
Nepal,14.32,13.97,01/12/2021,celsius
Uzbekistan,14.78,13.9,01/12/2021,celsius
Greece,14.89,14.8,01/12/2021,celsius
Argentina,15.4,15.52,01/12/2021,celsius
Portugal,16.09,16.42,01/12/2021,celsius
Lebanon,16.23,15.97,01/12/2021,celsius
Turkmenistan,17.65,16.44,01/12/2021,celsius
South Africa,18.06,18.47,01/12/2021,celsius
Uruguay,18.06,18.12,01/12/2021,celsius
Morocco,18.48,18.57,01/12/2021,celsius
Rwanda,19.21,19.13,01/12/2021,celsius
Iran,19.54,18.35,01/12/2021,celsius
Syria,19.72,19.38,01/12/2021,celsius
Peru,19.79,19.95,01/12/2021,celsius
Cyprus,19.84,19.73,01/12/2021,celsius
Namibia,20.12,20.31,01/12/2021,celsius
Malta,20.28,20.04,01/12/2021,celsius
Jordan,20.36,19.92,01/12/2021,celsius
Palestine,20.36,19.92,01/12/2021,celsius
Burundi,20.53,20.44,01/12/2021,celsius
Swaziland,20.55,20.87,01/12/2021,celsius
Bolivia,20.82,21.35,01/12/2021,celsius
Israel,20.87,20.41,01/12/2021,celsius
Taiwan,21.03,20.92,01/12/2021,celsius
Tunisia,21.33,20.87,01/12/2021,celsius
Ecuador,21.38,21.78,01/12/2021,celsius
Pakistan,21.68,20.81,01/12/2021,celsius
Angola,21.74,21.73,01/12/2021,celsius
Botswana,21.74,22.06,01/12/2021,celsius
Mexico,21.86,22.08,01/12/2021,celsius
Zimbabwe,21.87,21.92,01/12/2021,celsius
Australia,22.06,22.57,01/12/2021,celsius
Zambia,22.12,22.03,01/12/2021,celsius
French Polynesia,22.19,22.21,01/12/2021,celsius
Malawi,22.79,22.8,01/12/2021,celsius
Madagascar,22.87,22.89,01/12/2021,celsius
Tanzania,23,23.09,01/12/2021,celsius
New Caledonia,23.04,23.12,01/12/2021,celsius
Libya,23.05,22.63,01/12/2021,celsius
Uganda,23.22,23.37,01/12/2021,celsius
Ethiopia,23.35,23.38,01/12/2021,celsius
Cape Verde,23.45,23.65,01/12/2021,celsius
Comoros,23.51,23.76,01/12/2021,celsius
Mauritius,23.67,23.53,01/12/2021,celsius
Egypt,23.88,23.18,01/12/2021,celsius
Algeria,23.93,23.79,01/12/2021,celsius
Macau,23.96,23.77,01/12/2021,celsius
Paraguay,24.01,24.62,01/12/2021,celsius
Myanmar,24.08,24.05,01/12/2021,celsius
Guatemala,24.09,24.35,01/12/2021,celsius
Iraq,24.22,23.45,01/12/2021,celsius
Hong Kong,24.24,24.09,01/12/2021,celsius
Laos,24.32,24.71,01/12/2021,celsius
Mozambique,24.53,24.61,01/12/2021,celsius
Dominican Republic,24.7,24.86,01/12/2021,celsius
Sao Tome and Principe,24.7,24.49,01/12/2021,celsius
Vanuatu,24.72,24.76,01/12/2021,celsius
Papua New Guinea,24.73,24.75,01/12/2021,celsius
Tonga,24.74,25.02,01/12/2021,celsius
Costa Rica,24.94,25.08,01/12/2021,celsius
Colombia,24.97,25.36,01/12/2021,celsius
India,24.99,24.8,01/12/2021,celsius
Fiji,25.01,25.29,01/12/2021,celsius
Vietnam,25.03,25.22,01/12/2021,celsius
Honduras,25.05,25.21,01/12/2021,celsius
Haiti,25.06,25.26,01/12/2021,celsius
Equatorial Guinea,25.08,25.08,01/12/2021,celsius
Mayotte,25.08,25.3,01/12/2021,celsius
Puerto Rico,25.11,25.23,01/12/2021,celsius
Cameroon,25.21,25.22,01/12/2021,celsius
Congo,25.23,25.37,01/12/2021,celsius
Kenya,25.23,25.43,01/12/2021,celsius
Republic of the Congo,25.23,25.37,01/12/2021,celsius
Bahamas,25.5,25.99,01/12/2021,celsius
El Salvador,25.56,25.79,01/12/2021,celsius
Brazil,25.58,25.93,01/12/2021,celsius
Solomon Islands,25.6,25.6,01/12/2021,celsius
Venezuela,25.61,25.93,01/12/2021,celsius
Panama,25.62,25.9,01/12/2021,celsius
Yemen,25.62,25.62,01/12/2021,celsius
Gabon,25.65,25.73,01/12/2021,celsius
Bangladesh,25.68,25.38,01/12/2021,celsius
Central African Republic,25.78,25.67,01/12/2021,celsius
Jamaica,25.8,26.05,01/12/2021,celsius
Liberia,25.87,25.73,01/12/2021,celsius
Indonesia,25.99,26.18,01/12/2021,celsius
Cuba,26.05,26.43,01/12/2021,celsius
Belize,26.15,26.38,01/12/2021,celsius
Guyana,26.15,26.52,01/12/2021,celsius
St Vincent and the Grenadines,26.17,26.33,01/12/2021,celsius
Nicaragua,26.19,26.33,01/12/2021,celsius
Malaysia,26.46,26.67,01/12/2021,celsius
Grenada,26.49,26.67,01/12/2021,celsius
Trinidad and Tobago,26.54,26.78,01/12/2021,celsius
Suriname,26.56,26.9,01/12/2021,celsius
Guinea,26.59,26.33,01/12/2021,celsius
Philippines,26.6,26.64,01/12/2021,celsius
Barbados,26.64,26.8,01/12/2021,celsius
Saudi Arabia,26.8,26.18,01/12/2021,celsius
Virgin Islands,26.83,26.97,01/12/2021,celsius
Eritrea,26.87,26.38,01/12/2021,celsius
Somalia,26.88,27.08,01/12/2021,celsius
Dominica,26.91,27.03,01/12/2021,celsius
Thailand,26.91,27.43,01/12/2021,celsius
Micronesia,27.01,27.34,01/12/2021,celsius
St Lucia,27.04,27.18,01/12/2021,celsius
Seychelles,27.07,27.26,01/12/2021,celsius
Sierra Leone,27.19,27.01,01/12/2021,celsius
Antigua and Barbuda,27.33,27.44,01/12/2021,celsius
American Samoa,27.34,27.52,01/12/2021,celsius
Ivory Coast,27.37,27.19,01/12/2021,celsius
Sri Lanka,27.41,27.66,01/12/2021,celsius
Cambodia,27.44,27.9,01/12/2021,celsius
Kiribati,27.49,27.49,01/12/2021,celsius
Palau,27.56,27.72,01/12/2021,celsius
Samoa,27.56,27.75,01/12/2021,celsius
St Kitts and Nevis,27.61,27.73,01/12/2021,celsius
Northern Mariana Islands,27.65,27.84,01/12/2021,celsius
Nigeria,27.67,27.43,01/12/2021,celsius
Chad,27.72,27.37,01/12/2021,celsius
Maldives,27.74,27.78,01/12/2021,celsius
Singapore,27.74,28.02,01/12/2021,celsius
Guam,27.88,28.02,01/12/2021,celsius
Kuwait,27.89,26.89,01/12/2021,celsius
Cayman Islands,27.99,28.3,01/12/2021,celsius
Togo,28.05,27.82,01/12/2021,celsius
Marshall Islands,28.07,28.43,01/12/2021,celsius
Niger,28.09,27.85,01/12/2021,celsius
Oman,28.1,27.82,01/12/2021,celsius
Sudan,28.17,27.42,01/12/2021,celsius
Ghana,28.3,28.1,01/12/2021,celsius
Djibouti,28.46,28.43,01/12/2021,celsius
Benin,28.7,28.43,01/12/2021,celsius
Guinea Bissau,28.76,28.71,01/12/2021,celsius
Gambia,29,29.03,01/12/2021,celsius
Aruba,29.03,29.37,01/12/2021,celsius
United Arab Emirates,29.08,28.38,01/12/2021,celsius
Bahrain,29.15,28.15,01/12/2021,celsius
Mauritania,29.3,29.1,01/12/2021,celsius
Qatar,29.42,28.45,01/12/2021,celsius
Senegal,29.63,29.56,01/12/2021,celsius
Mali,29.78,29.4,01/12/2021,celsius
Burkina Faso,30.01,29.63,01/12/2021,celsius